;Make;Model;Year;HP;Cilindros;Transmision;Tipo Traccion;Autopista MPG;Ciudad MPG;Precio
0;BMW;1 Series M;2011;335.0;6.0;Manual;Traccion Trasera;26;19;46135
1;BMW;1 Series;2011;300.0;6.0;Manual;Traccion Trasera;28;19;40650
2;BMW;1 Series;2011;300.0;6.0;Manual;Traccion Trasera;28;20;36350
3;BMW;1 Series;2011;230.0;6.0;Manual;Traccion Trasera;28;18;29450
4;BMW;1 Series;2011;230.0;6.0;Manual;Traccion Trasera;28;18;34500
5;BMW;1 Series;2012;230.0;6.0;Manual;Traccion Trasera;28;18;31200
6;BMW;1 Series;2012;300.0;6.0;Manual;Traccion Trasera;26;17;44100
7;BMW;1 Series;2012;300.0;6.0;Manual;Traccion Trasera;28;20;39300
8;BMW;1 Series;2012;230.0;6.0;Manual;Traccion Trasera;28;18;36900
9;BMW;1 Series;2013;230.0;6.0;Manual;Traccion Trasera;27;18;37200
10;BMW;1 Series;2013;300.0;6.0;Manual;Traccion Trasera;28;20;39600
11;BMW;1 Series;2013;230.0;6.0;Manual;Traccion Trasera;28;19;31500
12;BMW;1 Series;2013;300.0;6.0;Manual;Traccion Trasera;28;19;44400
13;BMW;1 Series;2013;230.0;6.0;Manual;Traccion Trasera;28;19;37200
15;BMW;1 Series;2013;320.0;6.0;Manual;Traccion Trasera;25;18;48250
16;BMW;1 Series;2013;320.0;6.0;Manual;Traccion Trasera;28;20;43550
27;Audi;100;1994;172.0;6.0;Automatico;Tracción Delantera;21;16;2000
28;Audi;100;1994;172.0;6.0;Manual;AWD Tracción integral;22;16;2000
29;Audi;100;1994;172.0;6.0;Manual;Tracción Delantera;22;17;2000
30;Audi;100;1994;172.0;6.0;Automatico;Tracción Delantera;22;16;2000
31;Audi;100;1994;172.0;6.0;Automatico;AWD Tracción integral;21;16;2000
32;FIAT;124 Spider;2017;160.0;4.0;Manual;Traccion Trasera;35;26;27495
33;FIAT;124 Spider;2017;160.0;4.0;Manual;Traccion Trasera;35;26;24995
34;FIAT;124 Spider;2017;160.0;4.0;Manual;Traccion Trasera;35;26;28195
41;BMW;2 Series;2016;240.0;4.0;Automatico;Traccion Trasera;35;23;32850
42;BMW;2 Series;2016;240.0;4.0;Automatico;Traccion Trasera;34;23;38650
43;BMW;2 Series;2016;320.0;6.0;Automatico;Traccion Trasera;31;20;48750
44;BMW;2 Series;2016;240.0;4.0;Automatico;AWD Tracción integral;35;23;34850
45;BMW;2 Series;2016;240.0;4.0;Automatico;AWD Tracción integral;34;22;40650
46;BMW;2 Series;2016;320.0;6.0;Automatico;Traccion Trasera;31;20;44150
47;BMW;2 Series;2016;240.0;4.0;Manual;Traccion Trasera;34;22;32850
48;BMW;2 Series;2016;320.0;6.0;Automatico;AWD Tracción integral;30;20;46150
49;BMW;2 Series;2016;320.0;6.0;Automatico;Traccion Trasera;30;20;50750
50;BMW;2 Series;2017;335.0;6.0;Automatico;AWD Tracción integral;31;21;46450
51;BMW;2 Series;2017;335.0;6.0;Automatico;Traccion Trasera;32;21;49050
